Pair,Sector,Date,Position,Spread,ZScore,PnL_Net,Cum_PnL,Value
TECHM.NS/MPHASIS.NS,IT,2022-04-22,0.0,-84.70210362169405,-0.8792688955956233,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-04-25,0.0,-73.71573545207207,-0.7369913290290032,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-04-26,0.0,-58.16281677067241,-0.5344177741297151,0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-04-27,0.0,-82.65263840185958,-0.8134090211453945,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-04-28,0.0,-74.27072307767503,-0.6919512238633176,0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-04-29,0.0,-103.30801370552354,-1.0390155370231857,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-02,0.0,-84.41500813210246,-0.7760290877521817,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-04,0.0,-76.82924283564216,-0.6584640709418083,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-05,0.0,-37.795462488006706,-0.11719853712152682,0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-06,0.0,-14.920513335973965,0.21601133230902603,0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-09,0.0,-18.402092510844795,0.19490745201166235,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-10,0.0,-38.08174164459888,-0.05529776765551538,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-11,0.0,-43.72881875357439,-0.10777383291643397,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-12,0.0,-6.313584696108592,0.527297912583358,0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-13,0.0,13.652844609690305,0.8934630368070937,0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-16,0.0,-12.145403535883247,0.51745552516352,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-17,0.0,-44.26528347337626,-0.01701753953143275,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-18,0.0,-94.65260416872434,-0.9390533934572693,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-19,0.0,-72.26689140419501,-0.502104309105586,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-20,0.0,-53.71255774417557,-0.06535725545650807,0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-23,0.0,-68.68530878616662,-0.41245323902545483,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-24,0.0,-93.52332628619683,-1.0880102103336122,-0.0,130647.79177147854,1380647.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-25,1.0,-66.60201241500772,-0.30256199432675224,-3125.0,127522.79177147854,1377522.7917714785
TECHM.NS/MPHASIS.NS,IT,2022-05-26,1.0,-73.36271902400551,-0.47964499825070694,8349.439609695366,135872.23138117391,1385872.231381174
